Scaffold	Position	GC_Content	AT_Content
SUPER_GRC2	100000	35.35	64.65
SUPER_GRC2	200000	36.23	63.77
SUPER_GRC2	300000	36.83	63.17
SUPER_GRC2	400000	37.31	62.69
SUPER_GRC2	500000	37.52	62.48
SUPER_GRC2	600000	35.41	64.59
SUPER_GRC2	700000	35.07	64.93
SUPER_GRC2	800000	36.06	63.94
SUPER_GRC2	900000	37.71	62.29
SUPER_GRC2	1000000	38.08	61.92
SUPER_GRC2	1100000	36.37	63.43
SUPER_GRC2	1200000	35.84	63.96
SUPER_GRC2	1300000	35.81	64.19
SUPER_GRC2	1400000	35.93	63.97
SUPER_GRC2	1500000	37.11	62.79
SUPER_GRC2	1600000	37.12	62.78
SUPER_GRC2	1700000	36.24	63.66
SUPER_GRC2	1800000	37.33	62.57
SUPER_GRC2	1900000	38.18	61.72
SUPER_GRC2	2000000	37.75	62.25
SUPER_GRC2	2100000	35.82	64.18
SUPER_GRC2	2200000	33.86	66.14
SUPER_GRC2	2300000	34.98	65.02
SUPER_GRC2	2400000	36.67	63.33
SUPER_GRC2	2500000	36.65	63.25
SUPER_GRC2	2600000	36.05	63.85
SUPER_GRC2	2700000	36.52	63.48
SUPER_GRC2	2800000	35.66	64.34
SUPER_GRC2	2900000	38.14	61.86
SUPER_GRC2	3000000	40.65	59.35
SUPER_GRC2	3100000	40.39	59.41
SUPER_GRC2	3200000	40.89	58.91
SUPER_GRC2	3300000	38.65	61.35
SUPER_GRC2	3400000	36.57	63.43
SUPER_GRC2	3500000	36.47	63.53
SUPER_GRC2	3600000	36.40	63.60
SUPER_GRC2	3700000	36.22	63.68
SUPER_GRC2	3800000	37.93	61.97
SUPER_GRC2	3900000	39.27	60.63
SUPER_GRC2	4000000	38.95	60.95
SUPER_GRC2	4100000	38.04	61.96
SUPER_GRC2	4200000	37.08	62.92
SUPER_GRC2	4300000	37.24	62.76
SUPER_GRC2	4400000	37.12	62.88
SUPER_GRC2	4500000	35.93	64.07
SUPER_GRC2	4600000	36.66	63.24
SUPER_GRC2	4700000	37.44	62.46
SUPER_GRC2	4800000	37.22	62.78
SUPER_GRC2	4900000	37.44	62.56
SUPER_GRC2	5000000	36.72	63.28
SUPER_GRC2	5100000	35.38	64.62
SUPER_GRC2	5200000	35.34	64.56
SUPER_GRC2	5300000	35.44	64.46
SUPER_GRC2	5400000	35.36	64.54
SUPER_GRC2	5500000	35.64	64.26
SUPER_GRC2	5600000	35.39	64.51
SUPER_GRC2	5700000	34.95	64.95
SUPER_GRC2	5800000	36.73	63.17
SUPER_GRC2	5900000	40.33	59.57
SUPER_GRC2	6000000	41.31	58.69
SUPER_GRC2	6100000	38.12	61.88
SUPER_GRC2	6200000	35.23	64.77
SUPER_GRC2	6300000	34.17	65.83
SUPER_GRC2	6400000	33.90	66.00
SUPER_GRC2	6500000	34.87	65.03
SUPER_GRC2	6600000	34.28	65.72
SUPER_GRC2	6700000	34.11	65.89
SUPER_GRC2	6800000	33.27	66.63
SUPER_GRC2	6900000	31.86	68.04
SUPER_GRC2	7000000	32.18	67.82
SUPER_GRC2	7100000	32.42	67.58
SUPER_GRC2	7200000	33.64	66.36
SUPER_GRC2	7300000	33.86	66.14
SUPER_GRC2	7400000	33.22	66.78
SUPER_GRC2	7500000	33.48	66.52
SUPER_GRC2	7600000	35.26	64.74
SUPER_GRC2	7700000	36.50	63.50
SUPER_GRC2	7800000	35.65	64.35
SUPER_GRC2	7900000	36.87	63.03
SUPER_GRC2	8000000	38.18	61.62
SUPER_GRC2	8100000	37.13	62.77
SUPER_GRC2	8200000	37.65	62.35
SUPER_GRC2	8300000	40.40	59.60
SUPER_GRC2	8400000	38.94	61.06
SUPER_GRC2	8500000	35.45	64.55
SUPER_GRC2	8600000	34.86	65.14
SUPER_GRC2	8700000	34.83	65.17
SUPER_GRC2	8800000	34.26	65.74
SUPER_GRC2	8900000	33.73	66.27
SUPER_GRC2	9000000	34.61	65.39
SUPER_GRC2	9100000	34.83	65.17
SUPER_GRC2	9200000	34.89	65.11
SUPER_GRC2	9300000	34.52	65.48
SUPER_GRC2	9400000	32.40	67.60
SUPER_GRC2	9500000	32.42	67.58
SUPER_GRC2	9600000	32.76	67.24
SUPER_GRC2	9700000	31.87	68.13
SUPER_GRC2	9800000	33.62	66.38
SUPER_GRC2	9900000	35.63	64.37
SUPER_GRC2	10000000	34.33	65.57
SUPER_GRC2	10100000	32.87	67.03
SUPER_GRC2	10200000	33.35	66.55
SUPER_GRC2	10300000	32.91	66.99
SUPER_GRC2	10400000	33.29	66.71
SUPER_GRC2	10500000	35.01	64.99
SUPER_GRC2	10600000	34.11	65.89
SUPER_GRC2	10700000	33.38	66.62
SUPER_GRC2	10800000	33.61	66.39
SUPER_GRC2	10900000	34.10	65.90
SUPER_GRC2	11000000	34.92	64.98
SUPER_GRC2	11100000	37.04	62.86
SUPER_GRC2	11200000	37.26	62.74
SUPER_GRC2	11300000	35.10	64.90
SUPER_GRC2	11400000	35.01	64.99
SUPER_GRC2	11500000	35.26	64.74
SUPER_GRC2	11600000	35.42	64.58
SUPER_GRC2	11700000	35.38	64.52
SUPER_GRC2	11800000	35.82	64.08
SUPER_GRC2	11900000	35.60	64.40
SUPER_GRC2	12000000	35.50	64.50
SUPER_GRC2	12100000	36.66	63.34
SUPER_GRC2	12200000	36.36	63.54
SUPER_GRC2	12300000	36.25	63.65
SUPER_GRC2	12400000	36.79	63.11
SUPER_GRC2	12500000	36.21	63.69
SUPER_GRC2	12600000	35.99	64.01
SUPER_GRC2	12700000	36.55	63.45
SUPER_GRC2	12800000	37.68	62.32
SUPER_GRC2	12900000	37.34	62.67
SUPER_GRC2	13000000	36.37	63.63
SUPER_GRC2	13100000	36.66	63.34
SUPER_GRC2	13200000	36.57	63.33
SUPER_GRC2	13300000	36.43	63.47
SUPER_GRC2	13400000	36.47	63.53
SUPER_GRC2	13500000	35.89	63.81
SUPER_GRC2	13600000	35.86	63.74
SUPER_GRC2	13700000	36.49	63.41
SUPER_GRC2	13800000	36.08	63.92
SUPER_GRC2	13900000	35.89	64.11
SUPER_GRC2	14000000	35.99	64.01
SUPER_GRC2	14100000	34.59	65.41
SUPER_GRC2	14200000	34.38	65.52
SUPER_GRC2	14300000	35.14	64.66
SUPER_GRC2	14400000	34.80	65.00
SUPER_GRC2	14500000	35.08	64.82
SUPER_GRC2	14600000	35.75	64.25
SUPER_GRC2	14700000	35.92	64.08
SUPER_GRC2	14800000	36.07	63.93
SUPER_GRC2	14900000	36.26	63.74
SUPER_GRC2	15000000	37.68	62.32
SUPER_GRC2	15100000	38.33	61.57
SUPER_GRC2	15200000	37.15	62.75
SUPER_GRC2	15300000	36.10	63.90
SUPER_GRC2	15400000	35.36	64.64
SUPER_GRC2	15500000	35.18	64.62
SUPER_GRC2	15600000	36.13	63.67
SUPER_GRC2	15700000	36.97	63.03
SUPER_GRC2	15800000	37.03	62.97
SUPER_GRC2	15900000	36.33	63.57
SUPER_GRC2	16000000	35.51	64.29
SUPER_GRC2	16100000	35.49	64.31
SUPER_GRC2	16200000	36.02	63.88
SUPER_GRC2	16300000	36.82	63.08
SUPER_GRC2	16400000	37.14	62.76
SUPER_GRC2	16500000	36.77	63.23
SUPER_GRC2	16600000	35.44	64.56
