Scaffold	Position	GC_Content	AT_Content
651kb_full_HGT_region	1000	33.90	66.10
651kb_full_HGT_region	2000	36.35	63.65
651kb_full_HGT_region	3000	36.35	63.65
651kb_full_HGT_region	4000	36.10	63.90
651kb_full_HGT_region	5000	36.60	63.40
651kb_full_HGT_region	6000	37.35	62.65
651kb_full_HGT_region	7000	35.90	64.10
651kb_full_HGT_region	8000	35.20	64.80
651kb_full_HGT_region	9000	36.65	63.35
651kb_full_HGT_region	10000	39.55	60.45
651kb_full_HGT_region	11000	41.75	58.25
651kb_full_HGT_region	12000	40.35	59.65
651kb_full_HGT_region	13000	36.70	63.30
651kb_full_HGT_region	14000	35.35	64.65
651kb_full_HGT_region	15000	34.90	65.10
651kb_full_HGT_region	16000	35.75	64.25
651kb_full_HGT_region	17000	36.45	63.55
651kb_full_HGT_region	18000	34.95	65.05
651kb_full_HGT_region	19000	37.10	62.90
651kb_full_HGT_region	20000	36.45	63.55
651kb_full_HGT_region	21000	33.95	66.05
651kb_full_HGT_region	22000	34.75	65.25
651kb_full_HGT_region	23000	35.90	64.10
651kb_full_HGT_region	24000	36.30	63.70
651kb_full_HGT_region	25000	36.30	63.70
651kb_full_HGT_region	26000	35.30	64.70
651kb_full_HGT_region	27000	36.00	64.00
651kb_full_HGT_region	28000	39.25	60.75
651kb_full_HGT_region	29000	37.75	62.25
651kb_full_HGT_region	30000	36.00	64.00
651kb_full_HGT_region	31000	37.35	62.65
651kb_full_HGT_region	32000	36.00	64.00
651kb_full_HGT_region	33000	36.30	63.70
651kb_full_HGT_region	34000	38.80	61.20
651kb_full_HGT_region	35000	38.05	61.95
651kb_full_HGT_region	36000	33.70	66.30
651kb_full_HGT_region	37000	34.85	65.15
651kb_full_HGT_region	38000	37.95	62.05
651kb_full_HGT_region	39000	38.00	62.00
651kb_full_HGT_region	40000	35.60	64.40
651kb_full_HGT_region	41000	35.25	64.75
651kb_full_HGT_region	42000	37.35	62.65
651kb_full_HGT_region	43000	36.50	63.50
651kb_full_HGT_region	44000	37.10	62.90
651kb_full_HGT_region	45000	36.65	63.35
651kb_full_HGT_region	46000	35.70	64.30
651kb_full_HGT_region	47000	35.85	64.15
651kb_full_HGT_region	48000	33.35	66.65
651kb_full_HGT_region	49000	35.30	64.70
651kb_full_HGT_region	50000	39.95	60.05
651kb_full_HGT_region	51000	37.55	62.45
651kb_full_HGT_region	52000	35.25	64.75
651kb_full_HGT_region	53000	35.25	64.75
651kb_full_HGT_region	54000	35.30	64.70
651kb_full_HGT_region	55000	34.60	65.40
651kb_full_HGT_region	56000	33.65	66.35
651kb_full_HGT_region	57000	35.80	64.20
651kb_full_HGT_region	58000	39.15	60.85
651kb_full_HGT_region	59000	38.80	61.20
651kb_full_HGT_region	60000	36.95	63.05
651kb_full_HGT_region	61000	35.60	64.40
651kb_full_HGT_region	62000	32.55	67.45
651kb_full_HGT_region	63000	32.20	67.80
651kb_full_HGT_region	64000	35.70	64.30
651kb_full_HGT_region	65000	36.55	63.45
651kb_full_HGT_region	66000	36.65	63.35
651kb_full_HGT_region	67000	38.60	61.40
651kb_full_HGT_region	68000	36.60	63.40
651kb_full_HGT_region	69000	34.00	66.00
651kb_full_HGT_region	70000	33.75	66.25
651kb_full_HGT_region	71000	35.75	64.25
651kb_full_HGT_region	72000	37.60	62.40
651kb_full_HGT_region	73000	35.90	64.10
651kb_full_HGT_region	74000	34.30	65.70
651kb_full_HGT_region	75000	35.40	64.60
651kb_full_HGT_region	76000	38.65	61.35
651kb_full_HGT_region	77000	39.15	60.85
651kb_full_HGT_region	78000	37.35	62.65
651kb_full_HGT_region	79000	35.50	64.50
651kb_full_HGT_region	80000	32.75	67.25
651kb_full_HGT_region	81000	31.25	68.75
651kb_full_HGT_region	82000	31.95	68.05
651kb_full_HGT_region	83000	31.45	68.55
651kb_full_HGT_region	84000	31.45	68.55
651kb_full_HGT_region	85000	33.20	66.80
651kb_full_HGT_region	86000	33.55	66.45
651kb_full_HGT_region	87000	32.35	67.65
651kb_full_HGT_region	88000	32.35	67.65
651kb_full_HGT_region	89000	36.25	63.75
651kb_full_HGT_region	90000	39.30	60.70
651kb_full_HGT_region	91000	37.95	62.05
651kb_full_HGT_region	92000	35.65	64.35
651kb_full_HGT_region	93000	33.80	66.20
651kb_full_HGT_region	94000	36.30	63.70
651kb_full_HGT_region	95000	39.25	60.75
651kb_full_HGT_region	96000	37.20	62.80
651kb_full_HGT_region	97000	36.10	63.90
651kb_full_HGT_region	98000	35.35	64.65
651kb_full_HGT_region	99000	33.55	66.45
651kb_full_HGT_region	100000	33.45	66.55
651kb_full_HGT_region	101000	33.75	66.25
651kb_full_HGT_region	102000	32.50	67.50
651kb_full_HGT_region	103000	32.80	67.20
651kb_full_HGT_region	104000	34.40	65.60
651kb_full_HGT_region	105000	34.20	65.80
651kb_full_HGT_region	106000	33.80	66.20
651kb_full_HGT_region	107000	33.20	66.80
651kb_full_HGT_region	108000	34.25	65.75
651kb_full_HGT_region	109000	34.90	65.10
651kb_full_HGT_region	110000	34.60	65.40
651kb_full_HGT_region	111000	36.00	64.00
651kb_full_HGT_region	112000	35.60	64.40
651kb_full_HGT_region	113000	34.60	65.40
651kb_full_HGT_region	114000	34.10	65.90
651kb_full_HGT_region	115000	33.75	66.25
651kb_full_HGT_region	116000	33.80	66.20
651kb_full_HGT_region	117000	32.60	67.40
651kb_full_HGT_region	118000	33.65	66.35
651kb_full_HGT_region	119000	36.40	63.60
651kb_full_HGT_region	120000	36.75	63.25
651kb_full_HGT_region	121000	33.75	66.25
651kb_full_HGT_region	122000	34.45	65.55
651kb_full_HGT_region	123000	39.40	60.60
651kb_full_HGT_region	124000	38.70	61.30
651kb_full_HGT_region	125000	35.70	64.30
651kb_full_HGT_region	126000	35.65	64.35
651kb_full_HGT_region	127000	34.75	65.25
651kb_full_HGT_region	128000	33.50	66.50
651kb_full_HGT_region	129000	33.70	66.30
651kb_full_HGT_region	130000	32.85	67.15
651kb_full_HGT_region	131000	32.30	67.70
651kb_full_HGT_region	132000	33.60	66.40
651kb_full_HGT_region	133000	34.40	65.60
651kb_full_HGT_region	134000	34.55	65.45
651kb_full_HGT_region	135000	33.60	66.40
651kb_full_HGT_region	136000	32.45	67.55
